,Tweets,Dates
406,"🎉去年もイベント盛り沢山でしたね🎶
また国慶節イベントやるのかな⁉️
チャイナはウイルスで騒ぎだから、SARSみたいに水際で防止！して貰いたいね✌️
ブラジル🇧🇷のSafari Zoneもやるのかな？
#ポケモンGO… https://t.co/hde4SZSCft",2020-01-16
407,Sars will humble u...,2020-01-16
408,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/GRsDr49Qga,2020-01-16
409,そういえば昔SARSが流行ってたころ、子供のためのシェイクスピアのリチャード三世でマーガレットが「ビョーキの鶏でも食って死ぬがいい！」という呪いの言葉を発するという、スレスレのギャグをかましてたんだよなあ。,2020-01-16
410,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/qU4Y3mczdt,2020-01-16
411,@MonicaParis386 @BurtChenlong @iingwen @AmbroseDumile 搞不定？現在還有SARS嗎？非典SARS都能拼錯，讀過書嗎？,2020-01-16
412,"Not again, ""SARS-like virus"" spreading fast across borders https://t.co/6NnpX8jVtj",2020-01-16
413,China’s mysterious new SARS-like virus has spread to Thailand and Japan. If there’s one thing I learned from playin… https://t.co/gEdoXz4zKZ,2020-01-16
414,【最新ニュース】中国内陸部の湖北省武漢で検出され、国内でも確認された新型コロナウイルスについて、遺伝子の型が2003年に中国やアジア各地で広がった新型肺炎「ＳＡＲＳ」のウイルスと似ている点が多いことが分かりました。 ＮＨＫニュース… https://t.co/EEGqRpd7yg,2020-01-16
415,@Dremodrizzy Go meet Sars. Beat go tire you.,2020-01-16
416,"『専門家は現時点ではＳＡＲＳより感染力や病原性は低いとみられるものの、今後、ヒトからヒトへ感染しやすいよう遺伝子が変化しないか監視する必要があると指摘しています。』
ふむふむ。。 https://t.co/iTXyAF4uUU",2020-01-16
417,Coronavirus: Japan detects first case of deadly infection https://t.co/ZxOAy9ZA6R,2020-01-16
418,"【新型肺炎コロナウイルス、日本上陸】

厚労省は「日本で大流行の可能性は低い」としていますが、
そもそも中国の患者数発表に、疑いを持つべきかもしれません。

2003年のSARSの大流行時、中国が当初隠していた事によって世界的パン… https://t.co/mB27vDyQLb",2020-01-16
419,@Wenendahh Na SARS dey wear tee shirt o,2020-01-16
420,#新型コロナウイルス 遺伝子の型「#ＳＡＲＳ」と類似 https://t.co/HvTVREkqXq,2020-01-16
421,@Lungah__mkhize @LandNoli The president signed off and approved such thing and Treasury/minister of Finance and the SARS people,2020-01-16
422,"新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/ApXneKYTE8

SARSは中国南部の広東省を起源とした重症な非定型性肺炎の世界的規模の集団発生が 2003年に重症急性呼吸… https://t.co/dYBNJw3Hq1",2020-01-16
423,"ada heboh-heboh berita virus/bakteri yang mirip SARS, dari Wuhan China, tp ada turis China yg ke Jepang dan Thailan… https://t.co/V4QMWLaXzE",2020-01-16
424,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/95uGO16iBO,2020-01-16
425,@TimesLIVE Until only him is left cos all who were involved when SARS was on his neck must go home. Mmhh will see,2020-01-16
426,Coronavirus: Japan detects first case of deadly infection https://t.co/f2TdBmFOD3,2020-01-16
427,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 https://t.co/RgogrBEOhF,2020-01-16
428,@Jaaartt sars,2020-01-16
429,SARSとかひっさびさに聞いたな。,2020-01-16
430,"World: A new SARS-like virus in China
Me: Going to China soon

🤔😭",2020-01-16
431,"*Visiting family Doctor*
Me: do you recommend that I wear a mask?
Dr: at the moment, no need. But if your cough get… https://t.co/z785tkyqwK",2020-01-16
432,SCARY: Fears are mounting across Asia over the cross-border spread of a new coronavirus identified in China that ha… https://t.co/1pYhqkkUuD,2020-01-16
433,"Outbreak of SARS-Like Virus Widens With First Case in Japan.
https://t.co/c6prh4FTik",2020-01-16
434,"@myu87961 SARSと似た遺伝子なのに、騒ぎ過ぎないようにと触れ回るNHKの感覚も疑います。
 #primenews",2020-01-16
435,"Nowy wirus, który pojawił się w Chinach(w Wuhan) i jest podobny do SARS, może jednak się przenosić z człowieka na c… https://t.co/HCLgMXiFUS",2020-01-16
436,@EdwinahLetheba Download SARS app and get tax number after registrations,2020-01-16
437,@elperisnow このブログ読んでても、これはSARSの記事なのに「謎の感染症」と同じ言葉で情報が隠蔽されてるくだりからすでに今現在のと動きがかぶるんで心配すぎますね😅😅😅 チャレンジ6年生そんな特集してたんですね😄ウルバニ… https://t.co/Hx4Gr4jNrQ,2020-01-16
438,Service Required: We would like an accountant to assist with all SARS related matters. As our accountant are reloca… https://t.co/vnvqom8EzH,2020-01-16
439,"1/16 19:21 NHK総合 ニュース7
きょうのニュース
国内初確認“SARSに近い”■米中合意・妥協の産物？■日本経済“状況悪化を回避”■「無罪請負人」弁護士ら辞任■相模原殺傷・遺族の悲しみ■横綱不在の中・熱戦続く..… https://t.co/KolzuX08yc",2020-01-16
440,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 #nhk_news https://t.co/kog6IGWTkV,2020-01-16
441,何故2004年になってスギヒラタケの毒性が明らかになったのか？ それには諸説あるけれど、一番有力な説に、当時猛威を振るった感染症「SARS」等の影響で感染症法の改正され、急性脳症発症時も行政報告が義務化された事が挙げられるわ。それで初めてスギヒラタケと急性脳症の関連性が疑われたの,2020-01-16
442,"@erigganewmoney Ewooo 
E don burst like this ooo
How sars wen don this issue pass la? Sars don enter one chance",2020-01-16
443,@mreazi @mreazi bros abeg for the sake of SARS waka well,2020-01-16
444,@ebfSof8Tu3uR8gs @7NHgRK1ld8rKPpX 中國豬瘟疫傳人了上推特瘋言瘋語，鼠疫再傳人，Sars再傳染就死光了，沒死的就是正常人,2020-01-16
445,Please explain to me why @sars would have 21 counters but only 11 open. Was at the @PostofficeSa and it the same th… https://t.co/HM23ddfbuf,2020-01-16
446,Sars uzolinda shame 🙆‍♀️,2020-01-16
447,今回の新型肺炎、10人に1人が死んだSARSや3人に1人が死んだMERSに比べれば、それほど怖くはないのかな。,2020-01-16
448,@sarebe_sars 꺄 저도요ㅠㅠ💛💙💛,2020-01-16
449,"@WBYeats1865 Apart from corruption, criminal and spy, #CCP usually export diseases! Don’t forget 2003 #SARS was exp… https://t.co/v2l44H9Hov",2020-01-16
450,"@Celestinekas @segalink Police or Sars?
@BhadmusAkeem any help too?",2020-01-16
451,@Crypto_Bitlord When $sars on binance sir?,2020-01-16
452,SARS流行った時みたいに肺炎流行るんか？,2020-01-16
453,@Chrisbamidele @kainjinodam @Ayourb You are missing a lot. I can stay indoor the whole day playing this game and be… https://t.co/hhPFI8AsHe,2020-01-16
454,we love you Sars @JustSarahG alam ni God kung gaano ka kabait na nilalang at alam naming mga fans mo kung gaano ka… https://t.co/BG9paMGoT8,2020-01-16
455,#fakenews re: SARS cases https://t.co/uzonE9sI2b,2020-01-16
456,"Sars just arrested my brother and are demanding ₦500K else he'd spend one month in prison. Titans, my brother can s… https://t.co/EwXhcTbhhw",2020-01-16
457,@ITProfess_Actor @nytimes Global outbreak can be serious. SARS in 2003 was terrible. Covering up made the situation worse.,2020-01-16
458,This is worse than people realize and her sentence was too lenient. Banks are forced to monitor your accounts and s… https://t.co/bP1XFPpE2A,2020-01-16
459,"@Lsize_tm SARSっ！
エボラっ！",2020-01-16
460,A 61-year-old man has become first person to die in China from a respiratory illness believed caused by new virus f… https://t.co/THqCFYYqHE,2020-01-16
461,"SARSの時思い出した…
本当、マスク着用をおすすめです。",2020-01-16
462,Mystery SARS-Like Virus Spreads To Japan https://t.co/V1GV9vj7sh,2020-01-16
463,【中国】原因不明肺炎で「新型コロナウイルス」検出　ＳＡＲＳ・ＭＥＲＳとは別種　https://t.co/WIhwlDezxZ,2020-01-16
464,"QuickTake by Bloomberg  //  

Japan has confirmed its first case of the new coronavirus, a SARS-like germ that firs… https://t.co/T0g9cg3iFj",2020-01-16
465,"puta bakit ba yung mga malalalang sakit madalas galing china pota SARS, Bird Flu, yung punyetang melamine scare, Bu… https://t.co/bHp2CionRO",2020-01-16
466,【中国】原因不明の肺炎患者59人に、SARS・MERSの可能性は否定　ＷＨＯが声明　湖北省武漢6日 　https://t.co/xbzfGRaF8X,2020-01-16
467,"@MGrVj4Wglndqg6W 是新型冠状病毒
最新研究与SARS有80%相似度",2020-01-16
468,"@YouTube (22:40~)
・当時SARS（サーズ）が「謎の肺炎」と呼ばれていたのは、中国が情報発信をしなかったから。WHOが中国に圧力をかけなかったのは、トップが中国の後押しで就いたから。

(24:40~)【新型肺炎】… https://t.co/ti96Wzcj1f",2020-01-16
469,@iamwillsteel SARS ni eleyi ooo 🤣🤣🤣,2020-01-16
470,Virus serupa Sars terdeteksi &amp; makan korban https://t.co/4rd9ouA3f4,2020-01-16
471,@tareichi001 SARSの時確か中学生だったな(　˙-˙　),2020-01-16
472,"栄研化学
03年SARS時に1ヶ月で株価ほぼ倍増。春節きっかけで武漢肺炎が盛り上がったら、当社のLAMP法遺伝子検査がネタになるかも。

スクエニ
4/10に発売延期になったFF VII REMAKE、4/16発売の「Cyber… https://t.co/w6SLDZWLzC",2020-01-16
473,Outbreak of #SARS - like virus widens with first case in #Japan https://t.co/hCm0DVW32N,2020-01-16
474,"China's new SARS-like virus has spread to Japan, but we still know very little about it

https://t.co/QifSyk6k4t",2020-01-16
475,"@ElishaBlueWood まささん、ありがとうございます〜😭

中国sars流行ってますね😣

今日、日本にも上陸したみたいで怖いです〜:;(∩´﹏`∩);:",2020-01-16
476,"Çin'de ortaya çıktı: Dünyada 'gizemli virüs' paniği! 
Uzmanlar virüsün SARS'a neden olan virüsle benzer özellikler… https://t.co/khzaLOLIJk",2020-01-16
477,"SARSって致死率高かったんだっけか。記憶がおぼろげ。特にその後のエボラがアホみたいに致死率高かったせいで…。

よく知らずに、マスク関連のデイトレでお小遣い稼ぎしている自分は間違いなく野次馬根性の塊。人としてどうなのかねー。",2020-01-16
478,Outbreak of SARS-Like Virus Widens With First Case in Japan https://t.co/vVuP4Ke0J5,2020-01-16
479,"Happy 50M views Sars, @JustSarahG Grabehaaan!!! #TALA #TalaChallenge #TalaDanceChallenge https://t.co/VmrmZRAxGm",2020-01-16
480,tangina bat ang maldita mo sars,2020-01-16
481,@the_gregdavies I’m sure SARS is happy about this.,2020-01-16
482,"MERSコロナウイルス
潜伏期間は2〜14日程度　*サウジアラビア型は9～12日
主な症状は、発熱、咳、息切れ
重症急性呼吸器症候群（SARS）と類似
疾患のある人は重症化（重症肺炎）する傾向
致死率が高い
*肉卵が感染源なら煮沸… https://t.co/Ujqv3eMMvw",2020-01-16
483,"It's already is spreading across Asia.
Japan and Thailand..

https://t.co/xgS5q8NKzY: New SARS-Like Virus in China… https://t.co/oJ6HJWCwir",2020-01-16
484,https://t.co/KAMsnx8eGX,2020-01-16
485,"@hanakosudwest なるほど、ありがとうございます。解熱剤でスルーは確かに発覚が遅れますね。でもこのままでは多くの人が入国可能。
SARSの時は特別に検疫の用紙が用意されていて旅客は全員記入する事になってましたね。水際対策旧正月までにきちんと執ってもらいたいです。",2020-01-16
486,"@nathanrodger I think we’ve learned from SARS, but we haven’t learnt enough.

The MERS outbreak in South Korea is a… https://t.co/ZhN1H67YGQ",2020-01-16
487,"China's new SARS-like coronavirus has spread to Japan, but we still know very little about it - CNN https://t.co/ChmNB7J9H5",2020-01-16
488,China believes a mysterious pneumonia outbreak that struck 59 people is caused by a new strain of virus from the sa… https://t.co/UuaHTrPoIe,2020-01-16
489,Mainland Chinese are spreading the new type pneumonia all over the world but China doesn’t shut down its borders.… https://t.co/X650jMLApK,2020-01-16
490,中國真ㄉ世界毒瘤，在它周邊的國家伍告衰小，不管是SARS、豬瘟或者現在ㄉ武漢肺炎都從這垃圾國家傳來ㄉ，怎麼不快爆炸ㄋ？,2020-01-16
491,"@watanotori 致死性という点で、SARSより遥かに劣っているようなので、まだ安心できませんが、落ち着いて出来る対策をお互いしないとね....
医療者の方は最前線で戦うので、戦場の兵士のようなもの...無事であって欲しいも… https://t.co/m08sp4EcAT",2020-01-16
492,Because what the world needs now is a SARS like mystery virus in the world's mm OST populous country https://t.co/oi3s7umdHT,2020-01-16
493,"横浜を中心とした空港から神奈川までの路線で
患者と遭遇していた可能性のある人
国内一号の中国人は1/3に入国している
甘く見るとすぐSARSの時みたいにパンデするからね
N95以上のマスクは必須だよ",2020-01-16
494,"@anmintei この手のニュースの度にSARS,エボラ熱,鳥豚インフルなどと重なる！出て来ては短期で収まる…人口削減計画を実行するイルミ・カバール・シオニ・ロスチ系・似非ユダ達が時事により世界にばら撒いていると考える
ワクチン… https://t.co/KUeTDi9pOc",2020-01-16
495,"@711_koinu_wanko @hiroshi_711 SARSとかコロナとかウイルスにカッコいい名前をつけるのは恐怖感を与え過ぎないようにわざとですかね？
ノロに至っては全く恐怖感ゼロなのですが。

その点エボラは何か怖い語感です。",2020-01-16
496,@DryVaccine @cohuman9876 @luckybo58074516 @gowKE4HReZ7ZBc5 那你就在墙内看新闻联播就好了，何必出来。对了，前些日子官方还说武汉肺炎不会人传人呢，结果东南亚小国纷纷中招，唯独… https://t.co/4lwPAS7OUs,2020-01-16
497,SARSの潜伏期間は10日間、前回は日本に感染拡大する原因もこれです。入国する際に症状を一斎出ず、その後はたくさんの日本人と接触し、一斎に発症します。入国制限すると「差別がー」と騒ぐだろう。,2020-01-16
498,"@Crypto_Bitlord This was also the case 15 years ago when I visited, had to sign sars note when entering and much dr… https://t.co/CIv0AB2PHO",2020-01-16
499,SARSに似た新型肺炎を引き起こするコロナウイルスが日本に上陸したんですね。日本にいる皆さんお気をつけください。 https://t.co/6BvsbhmEG6,2020-01-16
500,MERSコロナウイルスとSARSコロナウイルスと何が違うんだろうなあ,2020-01-16
501,"Thank you for your support!  And for getting the point of our SARS secrets series: it's called ""An Inconvenient Tru… https://t.co/MS02sYmI9Z",2020-01-16
502,"1/16 19:05 NHK総合 ニュース7
“過度に恐れる必要ないが遺伝子「SARS」と酷似”
国内で初めて確認された新型コロナウイルス。専門家は過度に恐れる必要はないとしているが、2003年に中国やアジア各地で広がった新型肺炎… https://t.co/FCetgxzB2i",2020-01-16
503,Flu epidemic fears grow as deadly coronavirus spreads from China to Japan https://t.co/ZXZ0GhyZaM,2020-01-16
504,"大陸チャイナも正月を迎えます。数億人レベルの移動がされます。新型SARSも、しっかり移動し、広がるわけです。日本にも入国する可能性も高いのが現実。
NHKさんは無責任にパニックになるなですってw",2020-01-16
505,"【精彩推薦】武漢肺炎就是SARS /趙忠祥死因曝光 - https://t.co/kKrjg1SOpu

【新唐人北京時間2020年01月16日訊】新唐人為讀者推薦每日精彩文章和視頻節目：
德專家：武漢「新型冠狀病毒」就是SARS… https://t.co/hvHveSlIRF",2020-01-16
506,Coronavirus: Japan detects first case of deadly infection https://t.co/QJJ8O9LMej https://t.co/ODzyxOTMy2,2020-01-16
507,@erigganewmoney Street boys don shoot fake alert give SARS Oga..... Yahoo ni babalawo,2020-01-16
508,"日本已經發現從中國武漢返回的日人感染SARS，對，基本上中國這次爆發的就是SARS，只是中國不敢承認，才稱呼爲類似SARS。臺灣人在中國的更多，而且即將遇上回家過年的人流，臺灣一定要更加小心防備。
https://t.co/aBO55O4YFw",2020-01-16
509,"China's new SARS-like virus has spread to Japan, but we still know very little about it https://t.co/j42P210s6F",2020-01-16
510,"前のSARSの時も日本から香港経由広州へ月一回ペースで行ってたけど、周りは極普通だったけど？
確かにイミグレーションとかは、体温検査やってたけど、普通の風邪でも、体温高いと検査するのに別室に案内されてる人いたけど。。。あんまりナー… https://t.co/B3hfIM1Ont",2020-01-16
511,aus b tau jan sars?? 👍,2020-01-16
512,"新型コロナウィルスこわ
慌てるな的な報道してたけど
死人が出ているし
SARSに似ているとか言われて
あわあわわわわ",2020-01-16
513,SARSの二の舞いにならなければいいけど・・・ https://t.co/wBHzA0e3zC,2020-01-16
514,"Here's apparently the nearest looking #SARS officer I have ever seen in my life.
I had to request for a selfie. His… https://t.co/JlPtsoajIN",2020-01-16
515,"The way me n my guys dodge SARS yesterday... Legendary 😂
Meanwhile we have nothing on us, we're not criminals. But we no wan hear story!",2020-01-16
516,看到有人说当年 SARS 提到孟学农，看了一眼 wiki，三起两落啊，不愧是党的干部，生命力就是顽强。政治生命永不完结！,2020-01-16
517,"「過度に恐れる必要なし！」
「ヒトからヒトへは移らないよ！」

絶対に信用せん❗😠

医者や専門家か知らんが、信じられるかいな
SARSとの類似点があるって分かっとんのに、のんきすぎちゃうけ？

流行らせて一儲けしようとする人らが… https://t.co/0Tuuo8FPjR",2020-01-16
518,"SARSの時は日本（横浜だっけ？）の何かの国際スポーツ大会が開催中止になったっけ？
オリンピックは如何に？心配でたまらんなあ、本当に心配だよ。心の奥底から。マジで。嘘じゃねえよ〜
#ニュース7",2020-01-16
519,"⚠️🦠 Tokyo man visiting Wuhan, China has been infected with a new SARS-like pneumonia-causing virus

#新型肺炎 #コロナウイルス… https://t.co/rgBQQ4VvgX",2020-01-16
520,"@seednohand 鰻重限定ww

体調大丈夫ですか！？( ˟ ⌑ ˟ )
なかなか良くならないようで
心配ですね😫

インフル？？
ノロやらSARSやらMERSやら
なんか色々流行ってるので
無理せず病院へ🏥",2020-01-16
521,SARSは感染から発症まで10日間の潜伏期間があり、数十万人の中国人観光客が春節に日本に入国する際に測定するのは体温のみです。日本政府は「万全な態勢を取る」とアピールしたが、ぜんぜん万全ではなく、中国からの旅行者の入国制限が必要です。やはり日本人の健康より商売を選んだね。,2020-01-16
522,@Crypto_Bitlord Actually heard some early reports about that virus. It's apparently like Sars but differnt. Get a g… https://t.co/3qYlK8uZWx,2020-01-16
523,"Japan confirms first case of new SARS-like virus in traveler who went to Wuhan, China https://t.co/wn84QvmUQv",2020-01-16
524,"@leeyuan54387518 @hk_fallen 【德專家：武漢肺炎是 SARS 的一種】

中國武漢市 2019/12 月爆發不明原因肺炎疫情，至今累積 41 起病例，1 人死亡，引起各國關注。據《德國之聲》報導，柏林病毒… https://t.co/hWstKbXH0X",2020-01-16
525,そう言えばSARSってその後どうなん？、その昔、父親が中国旅行行きたいと言って、ツアー手配して一緒行く計画したが、会社から禁止令出て泣く泣くキャンセル料払って止めたっけな(/o＼),2020-01-16
526,コロナウイルス、SARSっていつのまにか消滅しましたねえ。強毒性病原体は拡がりにくい。患者死んじゃうから。,2020-01-16
527,"〈新型肺炎〉
こればかりは用心しようにもマスク、うがい、手洗い、睡眠確保が予防策。実際に街ではなにがどう新型肺炎なのか、皆、わかるはずがない…SARSが流行った時、僕も香港、深圳にいたけれど、さっぱりわからないまま過ごしていたもの…",2020-01-16
528,SARSや武漢のコロナウィルスより恐ろしいのは、インフルエンザなんだよね。身近すぎてわかりにくいけど,2020-01-16
529,SARSはビクビクしてた割に広がらなかったから今回もそのパターンでお願いしますよ,2020-01-16
530,SARSの時にドラッグストアからマスクがなくなった騒動があったね,2020-01-16
531,SARSの影響で、出張キャンセルになったせんせいたなー,2020-01-16
532,"Çin'den uyarı: SARS benzeri yeni virüs insandan insana geçebilir 

https://t.co/fChiyWREbZ",2020-01-16
533,茄子のあSARSけ,2020-01-16
534,SARSと似てるのかー...,2020-01-16
535,SARSに近い #nhk #nhkgtv,2020-01-16
536,"こんばん和☆〜（ゝ。∂）
今日もありがとうございました🙇‍♂️ﾍﾟｺﾘ

寒い一日🥶

中国の武漢で相次ぐ原因不明の肺炎を発症。新種のコロナウイルスの可能性😱WHOは8日、SARSやMERSを発症させたウイルスの仲間で新種のウイル… https://t.co/LsRMDXa4nh",2020-01-16
537,"Don’t wanna tweet too much about it but I think we are in the early stages of a major virus outbreak 

Seen some cr… https://t.co/ZvlwD8czWY",2020-01-16
538,"新型肺炎か……
SARSみたく名前決まれば国試出そう",2020-01-16
539,SARS Warns South Africans To Watch Out For These New Scams https://t.co/BgShbbZxTb https://t.co/PpJ0Vffp2E,2020-01-16
540,SARSのこんな事情初めて聞いた…😱 これから旧正月になるというのに… https://t.co/GnS0QhT5CA,2020-01-16
541,新型コロナウイルス SARSに近い ってマジかよ!?,2020-01-16
542,"I have never experienced ONE CHANCE
I have never experienced SARS
I have never experienced ROBBERS
I have never exp… https://t.co/YcbljyFIFn",2020-01-16
543,Fears are mounting across Asia over the cross-border spread of a new coronavirus that has killed one patient and si… https://t.co/3nHWC07EMb,2020-01-16
544,Fears are mounting across Asia over the cross-border spread of a new coronavirus that has killed one patient and si… https://t.co/OWtfyH74jC,2020-01-16
545,"Beware of ‘Letter of Demand’ scam, warns Sars
Sars has created a section in their website where they post updates o… https://t.co/MoPomVxjEW",2020-01-16
546,Prevalence of deadly SARS virus confirmed in Japan https://t.co/GsiraVXjI2,2020-01-16
547,@GaleMogapi @EdwinahLetheba If they require it upon application I think you’ll just have to go to SARS and register… https://t.co/ZhZBkgsmwK,2020-01-16
548,2003年のSARSから得た知識 #新型コロナウイルス #中国肺炎 #新型肺炎 https://t.co/kgz0VNmHjn,2020-01-16
549,新型ウィルス…今ラジオでインフルエンザよりかかり難いって言ってて本当に大丈夫かウチの国😨と不安に。武漢で被害で1000人死んでるなんて伝えて無いね…SARSは感染して香港に戻った男が触れたエレベーターのボタンが始まりって読んだこと… https://t.co/2Y5896k5tE,2020-01-16
550,@WHO @WHOThailand @WHOSEARO @WHOWPRO Stool is not mentioned in the list of specimens to collect… https://t.co/cl9BVig5GC,2020-01-16
551,"@wangzhian8848 封鎖消息，它們已經是輕車熟路了。
新 Sars 還在封著…",2020-01-16
552,"SARSの時 シンガポール政府は
航空機の便名（座席番号も）
入国前の滞在先（自宅住所、ホテル名）とかを記載させ
万が一 発症した時のトレースにそなえていました

また 医療関係者への感染が増えると 対応する病院を 国立タントクセ… https://t.co/eX8z64P00Q",2020-01-16
553,Sydrome (SARS) and Middle East Respiratory Sydrome (MERS) back in 2003 and 2012 respectively. Both are believed to… https://t.co/KrbfR7CU5x,2020-01-16
554,"infection but there's also a possibility of mutation as the virus jumps from host to host.

Coronaviruses are so fa… https://t.co/yVTyddRYs8",2020-01-16
555,@Ziranjuan_095 @jennybear6879 SARS+921我一輩子也不會忘記,2020-01-16
556,"I want to draw a tattoo of my mum and also lock my hair , but I fear that I will trend one day on twitter with… https://t.co/vsFYmHaUqr",2020-01-16
557,@oblomart @Akjesus @CHINWENDUH I will use SARS and Fuck you up,2020-01-16
558,@netatank 香港人はもっと騒いでますよ。SARSの時中国のずさんな対応なせいで死者沢山出ましたからねぇ。今回の件は当の中国人は騒いでないですし、寧ろなんも個人で対策なんかしなくて平気、中国政府は立派だから大丈夫みたいな感じ… https://t.co/vF9WmZE2Vr,2020-01-16
559,Japan confirms first case of new SARS-like virus in traveler https://t.co/OwtD8QZcEE vía @business,2020-01-16
560,"@willcpowell @MedicineGovSte @JamesTitcombe @ShaunLintern Regardless of truth, and potentual to learn:… https://t.co/EWbjZWCrT4",2020-01-16
561,"@_flakkyy SARS asked me for an ID card once, I showed them this ID and my PVC, I still chopped slap

They said even thief dey get ID card 😩",2020-01-16
562,SARS https://t.co/j6xrHpwF0A https://t.co/qgDFgiWeZY,2020-01-16
563,my incense is burning n sars jus asked why is smth smoking that’s not me,2020-01-16
564,"QuickTake by Bloomberg en Twitter: ""Japan has confirmed its first case of the new coronavirus, a SARS-like germ tha… https://t.co/hXKOFigy9Q",2020-01-16
565,"New disease of pneumonia breaks out once again in China, the way SARS broke some time before. Vigilance needed, esp… https://t.co/dGH3K4fsjZ",2020-01-16
566,"Japan confirms first case of new SARS-like virus in traveler who went to Wuhan, China https://t.co/pu3Ua3JGOB",2020-01-16
567,"World on alert for potential spread of new SARS-like virus found in China

https://t.co/NqobDuFphU",2020-01-16
568,A 61-year-old man has become the first person to die in #China from a respiratory illness believed caused by a new… https://t.co/pjF3dtU8oT,2020-01-16
569,"Throw back to my interview I had with @unilagfm_1031 on human rights matters, speaking on child abuse, rape, police… https://t.co/K9KQEzoufY",2020-01-16
570,"Imagine if SARS stop you and find out you have a gun on you. regardless of whatever license you have, you are finis… https://t.co/2DLucAukRX",2020-01-16
571,"Hoy @saramey_alvrz kamusta ka naman kumareng sars? HAHAHA wieee miss na kitaa, stay kyut at bawas bawasan ang pagig… https://t.co/aqNYbZpwPI",2020-01-16
572,@BengoshiKH The SARS disaster in the 2003 make people realize that an opaque information system Will make people ev… https://t.co/hF3QurXXmq,2020-01-16
573,How to check if a SARS email or SMS is a scam https://t.co/dQYJvP3oF9 via @businesstechSA,2020-01-16
574,@kakra68 @Afolabi_GK @NGRPresident @MBuhari @OfficialAPCNg @ProfOsinbajo @GarShehu @PoliceNG This is the fifth year… https://t.co/pjqu2hYIjO,2020-01-16
575,"@hk_fallen @gowKE4HReZ7ZBc5 武汉肺炎，早已经各大新闻媒体报道了，病毒的DNA也已经给了世界卫生组织。 中国一直是公开、开放、合作的。

一开始很多人传是SARS，现在证明不是了，是新型病毒，世卫组织已经命名了。",2020-01-16
576,Japan reports mystery virus behind China outbreak - https://t.co/XJZIqTXij3 #Japan #MysteriousVirus #China #SARS #coronavirus,2020-01-16
577,てかSARSも中国から始まったしあっちになんかコロナウイルスの変異体の出来やすい環境とかあるんかな,2020-01-16
578,@sakanayou1 以前のSARSの時のように、突然市内封鎖とかをやりかねないので、延期または開催地変更がいいですよね。,2020-01-16
579,"SARS だと、約束が違う

武漢の肺炎、ドイツ専門家がSARSの一種と指摘、WHOは拡散警告―米華字メディア #SmartNews  https://t.co/uHBstmP5MU",2020-01-16
580,SARS harrassed 4 boys wey dey do Street. Dem transfer 1million give SARS Oga! Alert come but money no enter 🤣🤣 Now… https://t.co/EE40NQYUlo,2020-01-16
581,"Japan has confirmed its first case of the new coronavirus, a SARS-like germ that first appeared in Wuhan, China.

M… https://t.co/riFaN7ZR4h",2020-01-16
582,WARNING: SARS VIRUS OUTBREAK IS HAPPENING RIGHT NOW https://t.co/UzMc9SZw6o via @YouTube,2020-01-16
583,@annmama27 何かSARSの時につけてたイメージよね…もしやもう使われてない？,2020-01-16
584,The country has downplayed concerns it could be a reappearance of the SARS epidemic https://t.co/btKRj0FZJ8,2020-01-16
585,New SARS-Like Virus in China May Spread Between People in Limited Cases - https://t.co/YQniR5zlzq - #Tech https://t.co/fcobrDUjMQ,2020-01-16
586,"中国の新型コロナウイルス、ヒト間の感染「可能性排除できない」 日本でも初確認
　新型コロナウイルスは重症急性呼吸器症候群（SARS）の病原体と同じ科に属することから警戒感を呼んでいる
2020年1月16日 12:59　発信地：北京… https://t.co/fCLcVNsTcs",2020-01-16
587,"中国からSARS感染者渡航。
終わった。日本。",2020-01-16
588,"China's new SARS-like virus has spread to Japan, #Health

https://t.co/VkVVmNqPlD",2020-01-16
589,@upupdown3 そーだーそーだーッ😒💢💢なんだろうか。。SARSが話題になった時はいつも中国から始まったんじゃない？なんでいつも中国人は嫌なもの日本国に持ち込むんだろ👊😠❗,2020-01-16
590,SARs teminding my brother how much better he is off living in a different country one call and visit at a time 🤦🏻‍♀️,2020-01-16
591,"Back at SARS office with the documents I was told to bring by the all center. 
Office tells me the information they… https://t.co/gC98MQ0DGU",2020-01-16
592,"China's new SARS-like coronavirus has spread to Japan, but we still know very little about it - CNN https://t.co/Fwh7M1cECA",2020-01-16
593,"@nyain5DIARY @livedoornews うちの夫、SARSの時も向こうの国で働いていたんだけど…現地では日本ほど騒がれてなかったみたい💧
インフルエンザと同じ対策すればいんじゃね？って感じ😅
なんていうか…向こうの国… https://t.co/bvw7UjCNPD",2020-01-16
594,"D-Day is here: #SouthAfrica expats in for a bumpy ride #Tax

https://t.co/6KjDaipkdT",2020-01-16
595,Sars running @TundeEdnut https://t.co/gKIsr2s9H3,2020-01-16
596,@tobibakre SARS did you strong thing omolomo ya confess 😂😂😂 please how did this end with them?,2020-01-16
